mulch_rate,depth_300,depth_600,depth_900,tillage_method
1,25.40412371,55.25412371,94.0464123,Basins
1,39.53538535,70.69665186,106.7248391,Basins
1,9.177534965,21.61083676,44.79276157,Basins
1,11.5887931,29.14540611,61.30537123,Basins
1,22.0163948,42.36287281,65.4951311,Basins
1,19.06048951,44.39887797,80.12291001,Basins
1,26.6509375,50.24666921,77.67788567,Basins
1,23.42518352,60.88228668,98.15201701,Basins
1,9.226410106,26.12938883,51.86368362,Basins
1,9.636542056,28.94304849,55.17889264,Basins
1,24.92278772,41.85626152,66.69766026,Basins
1,33.88205749,72.24170034,108.3465901,Basins
1,26.89411718,59.60291888,102.8675874,Basins
1,47.43638511,81.16229621,106.7086935,Basins
1,11.37862584,25.15105618,40.5368889,Basins
1,18.47150943,46.585612,83.32839572,Basins
1,35.11173737,65.55887822,104.0191907,Basins
1,25.35688093,61.9509447,105.3324456,Plough
1,19.28869252,56.01610729,117.956069,Plough
1,37.02214942,77.33584805,137.4346414,Plough
1,12.41246012,27.32573201,49.15716032,Plough
1,13.34002041,31.93826602,62.83311492,Plough
1,33.2077504,53.28170009,67.26903338,Plough
1,36.10077264,73.53518211,130.062883,Plough
1,23.46362903,49.50189902,83.091126,Plough
1,42.95151157,74.52482618,110.5365584,Plough
1,11.77338979,30.46440082,61.21222996,Plough
1,16.14287915,35.27528921,70.1147269,Plough
1,17.23479223,31.19489689,49.79782516,Plough
1,18.55540943,43.13347065,71.07867476,Plough
1,23.27626363,45.17279271,88.75144632,Plough
1,29.62477477,67.42036301,111.8924602,Plough
1,11.54848332,30.89457707,51.2659992,Plough
1,15.20586306,34.16355537,61.75461562,Plough
1,24.72262156,50.74883058,83.09626647,Plough
1,23.81096747,55.49842706,88.99535014,Ripper
1,22.12942215,45.91662136,77.20929225,Ripper
1,32.03118402,61.75663045,107.1272644,Ripper
1,11.72655639,26.34208377,45.29681644,Ripper
1,11.96047697,32.51377896,62.58711379,Ripper
1,40.59230769,57.22256376,77.06085379,Ripper
1,24.55848064,61.04264731,98.93432647,Ripper
1,24.44908722,50.3454175,80.66384787,Ripper
1,33.76601144,75.30426956,119.1118537,Ripper
1,9.66456044,28.26439315,51.5713036,Ripper
1,16.07513575,37.4442147,72.26697756,Ripper
1,20.06765837,36.8246882,57.29796927,Ripper
1,25.36154552,50.49281385,82.09226053,Ripper
1,25.57982897,55.21852463,79.24230546,Ripper
1,23.86698297,57.39412583,97.25256956,Ripper
1,13.83973592,33.32762412,54.71824912,Ripper
1,12.19075581,32.01549764,57.06585328,Ripper
1,25.7219457,54.08608805,96.12235388,Ripper
2,35.12428747,83.55032137,118.7254546,Basins
2,22.93069366,52.43139789,85.5194126,Basins
2,34.01244378,81.2743756,126.0226833,Basins
2,17.19118227,33.36006837,55.54309805,Basins
2,12.80119048,28.03251034,60.61481094,Basins
2,15.87263309,38.62783064,62.25970293,Basins
2,33.49833479,61.50687502,110.8242247,Basins
2,27.69659091,54.56080525,89.87383157,Basins
2,31.58423592,68.24038875,102.7765808,Basins
2,9.701009658,31.23267597,62.21981946,Basins
2,15.31682674,35.72363346,65.20372873,Basins
2,19.95151631,46.29142794,71.737183,Basins
2,30.80776723,61.11540932,85.65056768,Basins
2,26.56243848,58.59305744,97.93014152,Basins
2,26.37623847,62.43697294,98.76677342,Basins
2,14.19550366,34.47571199,50.97225782,Basins
2,13.80503407,27.69621876,44.75476741,Basins
2,28.86103523,56.67353523,85.12106856,Basins
2,28.24075658,56.01292407,89.88886157,Plough
2,28.13032787,50.84971679,85.6577754,Plough
2,42.22211538,76.98488694,118.1035859,Plough
2,13.58320755,31.11574843,44.79703634,Plough
2,11.34120937,27.34782182,55.37984296,Plough
2,22.26132379,44.19435121,67.64546317,Plough
2,23.84626393,53.47553259,101.6163904,Plough
2,25.50933283,52.50178445,93.87005368,Plough
2,20.06603989,45.5663217,86.76874874,Plough
2,11.04823285,27.44074135,54.05483502,Plough
2,14.97015348,32.54789631,58.55500594,Plough
2,28.0789525,47.69180297,70.35658558,Plough
2,21.50143678,48.45215621,74.09390449,Plough
2,17.45170455,40.00722693,72.65198756,Plough
2,30.66574122,63.42067316,108.0824769,Plough
2,12.95992225,33.92059167,60.7610244,Plough
2,16.4199576,35.49602702,66.58686525,Plough
2,30.021875,47.40491071,90.23362188,Plough
2,26.63086694,55.76999691,81.21010007,Ripper
2,28.11219952,64.6704138,93.22621451,Ripper
2,38.0512987,78.31751782,116.1631909,Ripper
2,8.687864289,27.76374664,51.54644505,Ripper
2,13.73915833,33.34042473,63.12141304,Ripper
2,13.73915833,33.34042473,63.12141304,Ripper
2,16.61787414,43.04368433,75.70564714,Ripper
2,33.83387122,59.51438189,109.4966456,Ripper
2,37.9476542,69.96846341,91.05908284,Ripper
2,10.43417727,22.06267303,38.66368901,Ripper
2,18.80479348,47.93663986,76.60654495,Ripper
2,26.14264001,45.00201501,70.35495815,Ripper
2,39.88512274,92.90312647,143.6520254,Ripper
2,31.28783162,69.00911755,98.90155414,Ripper
2,39.3747297,77.68998018,126.6197273,Ripper
2,21.3289759,50.90301724,79.03967768,Ripper
2,16.17865076,33.17637803,55.11516613,Ripper
2,21.78264672,40.0168287,59.47054724,Ripper
4,34.11836615,71.47388085,111.4176656,Basins
4,31.10833333,52.03177083,88.56790348,Basins
4,37.31060817,71.85616527,114.1235791,Basins
4,8.40078125,27.26950556,48.28048371,Basins
4,13.49839617,29.19666756,58.17528194,Basins
4,10.39955631,29.75202525,50.73656387,Basins
4,39.23103484,68.899342,106.0849041,Basins
4,19.95954545,37.74622071,67.14682479,Basins
4,28.26278195,62.55564691,101.2462434,Basins
4,11.12201283,30.03988117,49.68339621,Basins
4,17.56349462,44.87785964,76.12685338,Basins
4,21.02235273,36.6129163,62.90911789,Basins
4,29.5725,58.33951188,82.24351679,Basins
4,26.08563776,55.63827609,91.40210184,Basins
4,37.7078972,69.74900149,100.2298083,Basins
4,12.17527174,30.55813812,56.08006747,Basins
4,11.81024874,32.75369237,60.78365477,Basins
4,23.81715152,44.55482158,70.72117266,Basins
4,26.6755814,50.750893,81.66741721,Plough
4,19.89371364,40.64603507,67.75054306,Plough
4,41.18099893,77.57824499,113.5330101,Plough
4,9.753553137,24.17976868,43.05813808,Plough
4,12.74961136,31.71457615,64.59789382,Plough
4,29.07481539,57.03069854,82.20036081,Plough
4,27.48079487,57.81399986,96.89905934,Plough
4,11.13879173,41.16691673,81.8394513,Plough
4,32.82880855,62.17161096,102.8591422,Plough
4,10.95559006,29.98120858,53.03491063,Plough
4,13.40551181,36.66456354,66.27259829,Plough
4,24.54181554,41.0533641,60.9762356,Plough
4,22.62028986,50.05642987,87.07470729,Plough
4,25.1810559,55.63008774,81.74810566,Plough
4,35.82458472,68.64742955,107.1418294,Plough
4,7.833965728,28.10551516,52.76391204,Plough
4,15.39081633,36.2192481,62.94047727,Plough
4,18.11931212,49.80248602,91.56346575,Plough
4,37.99989589,72.68406069,109.5565973,Ripper
4,18.71505682,51.26915303,74.09217133,Ripper
4,33.56537132,69.02965704,114.9109565,Ripper
4,8.514473684,23.89545824,43.16999278,Ripper
4,17.60061237,40.71428339,68.51806701,Ripper
4,21.62737012,42.57937012,62.87474716,Ripper
4,22.60507087,47.60071669,82.57981866,Ripper
4,16.88065881,42.58524385,69.54036893,Ripper
4,37.10982305,71.27800487,105.1971394,Ripper
4,8.114914695,23.57483024,43.65667836,Ripper
4,18.78245581,43.218835,72.87138885,Ripper
4,23.18684211,53.13139907,87.59413025,Ripper
4,37.02204446,87.20990559,133.490456,Ripper
4,46.89282429,92.22282429,159.6914247,Ripper
4,34.80196573,82.10753159,139.5438754,Ripper
4,18.30733865,48.35501224,99.34061961,Ripper
4,19.47307551,51.46339809,104.7075147,Ripper
4,24.70625902,43.36200054,64.28017386,Ripper
8,33.21099025,68.20116882,109.5290504,Basins
8,17.91512539,41.69224083,76.59704451,Basins
8,36.00361799,77.80037124,113.8640777,Basins
8,8.940769525,28.42304801,51.9393843,Basins
8,15.53856804,34.39531469,63.70585184,Basins
8,11.69744624,25.95409517,44.92393213,Basins
8,48.93764721,88.17492848,123.0248979,Basins
8,20.8662644,44.10929286,76.85671391,Basins
8,29.4489312,62.4754312,101.6677747,Basins
8,13.02470914,26.63905643,52.67690404,Basins
8,15.44834893,34.48556354,66.72400054,Basins
8,34.26606583,54.22667928,70.10339672,Basins
8,17.02583763,41.07326418,65.80593423,Basins
8,20.63874172,47.77105304,79.50959393,Basins
8,30.68235978,60.24339762,97.46383106,Basins
8,6.0215625,25.82875721,42.05111572,Basins
8,17.16617074,37.03783506,60.45893435,Basins
8,22.44163223,41.32964593,68.36303502,Basins
8,31.8109143,66.35089297,99.52513866,Plough
8,25.0953228,63.05393025,107.2353237,Plough
8,45.81991285,88.83523538,136.3667439,Plough
8,7.636849044,22.34678975,45.6522024,Plough
8,15.83408157,33.56995322,64.72028038,Plough
8,21.60631129,46.69089961,84.10219992,Plough
8,26.66794004,54.14343755,81.10306828,Plough
8,23.32475962,51.13685249,80.55792081,Plough
8,25.5828196,55.49958107,94.10596137,Plough
8,10.73987603,22.80559787,40.33133231,Plough
8,12.02368816,26.83723799,51.47626743,Plough
8,31.25606061,50.21047171,74.0393707,Plough
8,23.02638889,61.6692477,98.19085773,Plough
8,27.16609957,57.77599309,89.41380168,Plough
8,32.82884725,67.46750272,109.4559495,Plough
8,18.67537205,35.40086224,67.81428251,Plough
8,17.03849184,41.78136197,69.2851855,Plough
8,25.03195513,44.96593508,86.7847034,Plough
8,29.02527786,66.3076362,103.754475,Ripper
8,22.02834448,44.7189233,82.81980092,Ripper
8,34.04596913,68.21858452,111.9834617,Ripper
8,13.50486866,28.02978247,47.0337123,Ripper
8,12.90086207,30.14522966,62.46797804,Ripper
8,21.15671296,41.03288943,61.22282112,Ripper
8,35.40409769,68.26834715,105.6231678,Ripper
8,20.65264633,48.13059908,81.84331337,Ripper
8,31.95680681,62.17317509,99.39943631,Ripper
8,6.531127039,22.5569022,36.46509381,Ripper
8,17.65028986,45.14755176,73.58817648,Ripper
8,36.81071429,52.32369386,67.18247708,Ripper
8,22.61597665,54.50761388,81.6135941,Ripper
8,32.40044872,64.49112539,103.321199,Ripper
8,25.87330084,53.1801248,93.35698754,Ripper
8,10.17135735,32.17144181,58.4595601,Ripper
8,12.76290678,30.05513368,53.2191316,Ripper
8,14.71729013,51.21961439,89.49637471,Ripper
10,31.83142458,66.73436965,112.9513475,Basins
10,18.40709726,39.13813175,69.91252054,Basins
10,38.90964912,73.48948783,115.4742283,Basins
10,11.93891435,25.54347255,48.90355168,Basins
10,17.31049475,40.13865153,75.00618634,Basins
10,16.64883866,37.86776207,58.22376366,Basins
10,39.80463602,87.64441979,135.6290482,Basins
10,19.27978927,40.97299841,76.85613658,Basins
10,34.47604423,78.52827637,121.7006204,Basins
10,8.786770692,22.77733592,47.07681355,Basins
10,14.87526813,44.50176275,80.50200765,Basins
10,28.00138889,44.9057914,65.34036363,Basins
10,30.20633655,60.01309331,93.17735332,Basins
10,35.64903202,67.2735001,107.9072615,Basins
10,50.7280303,98.37345928,148.3241021,Basins
10,16.24552266,34.7456866,58.00211776,Basins
10,14.89479055,37.19730916,65.93936257,Basins
10,7.80722928,29.53517046,63.54263073,Basins
10,36.81942786,71.57263763,112.6322736,Plough
10,22.44218166,44.70855415,86.37089389,Plough
10,40.00059524,84.73557863,131.1510748,Plough
10,13.9420443,27.7473446,44.60370175,Plough
10,18.86364509,31.81839798,54.15089425,Plough
10,16.05684357,39.21197875,76.24280064,Plough
10,25.39088431,53.40351701,99.52958844,Plough
10,24.43182648,51.53712347,84.16804866,Plough
10,37.42602572,73.8936682,113.9035933,Plough
10,10.17426182,25.45599259,43.23697298,Plough
10,19.43093645,43.60278666,72.38341166,Plough
10,20.10270368,61.44490123,86.8532942,Plough
10,18.46828283,45.59539322,78.3377355,Plough
10,19.6407358,47.47460882,71.91731287,Plough
10,33.77506971,67.59793302,107.1110587,Plough
10,6.372584034,24.98502435,49.70289551,Plough
10,8.622006352,28.91840854,56.49361328,Plough
10,19.80911836,38.27476253,61.49245014,Plough
10,33.37071429,62.81344308,96.48902092,Ripper
10,15.05573041,36.20033658,70.87008701,Ripper
10,22.49396853,58.72596853,104.7111813,Ripper
10,6.213956044,23.04784296,37.43975086,Ripper
10,14.14905405,31.96061342,53.49025113,Ripper
10,32.98616129,55.83836285,75.01212501,Ripper
10,25.39968011,55.32124471,85.94190082,Ripper
10,27.55185811,53.87754935,91.0266974,Ripper
10,39.55030833,80.6855404,123.5515741,Ripper
10,11.81326202,29.14213357,44.46155138,Ripper
10,12.46023093,31.31151126,62.2145888,Ripper
10,9.178125,22.74168019,42.38102063,Ripper
10,24.48706248,58.3310141,92.13471027,Ripper
10,37.00460666,70.91630363,105.7168027,Ripper
10,33.74679742,68.22804742,105.8218369,Ripper
10,15.8099623,41.86681474,69.9737257,Ripper
10,12.62590759,34.64064042,68.36299781,Ripper
10,15.00590247,36.59380271,62.54022409,Ripper
