ripper,plough,basins,soil_type
29.76652756,39.65160065,35.02323201,Sand
33.37071429,36.81942786,31.83142458,Sand
15.05573041,22.44218166,18.40709726,Sand
22.49396853,40.00059524,38.90964912,Sand
6.213956044,13.9420443,11.93891435,Sand
14.14905405,18.86364509,17.31049475,Sand
32.98616129,16.05684357,16.64883866,Sand
32.86595657,43.76293153,37.88704545,Sand
25.39968011,25.39088431,39.80463602,Sand
27.55185811,24.43182648,19.27978927,Sand
39.55030833,37.42602572,34.47604423,Sand
11.81326202,10.17426182,8.786770692,Sand
12.46023093,19.43093645,14.87526813,Sand
9.178125,20.10270368,28.00138889,Sand
41.15639273,30.51162166,41.89821429,Sand
24.48706248,18.46828283,30.20633655,Sand
37.00460666,19.6407358,35.64903202,Sand
33.74679742,33.77506971,50.7280303,Sand
15.8099623,6.372584034,16.24552266,Sand
12.62590759,8.622006352,14.89479055,Sand
15.00590247,19.80911836,7.80722928,Sand
51.40126196,51.43569133,51.40126196,Sand
62.39857594,69.35838308,62.39857594,Sand
45.54045593,51.69329757,45.54045593,Sand
78.57884589,78.80465686,78.57884589,Sand
25.35974625,30.27057242,25.35974625,Sand
27.67413978,31.79772908,27.67413978,Sand
36.86321845,43.90065771,36.86321845,Sand
51.5231576,53.69894271,51.5231576,Sand
56.40337721,50.58868063,56.40337721,Sand
51.25168459,40.42832809,51.25168459,Sand
80.15803862,64.45032364,80.15803862,Sand
29.0005851,20.71909696,29.0005851,Sand
28.63246052,30.37370465,28.63246052,Sand
43.52667732,41.3521726,43.52667732,Sand
65.03967088,62.20986551,65.03967088,Sand
56.94815269,49.38288976,56.94815269,Sand
48.22039595,55.42147395,48.22039595,Sand
63.7792328,54.23154511,63.7792328,Sand
43.10026115,37.12209038,43.10026115,Sand
29.49495216,36.60831967,29.49495216,Sand
44.52708186,42.48140822,44.52708186,Sand
67.81751174,66.52092655,67.81751174,Sand
70.80763837,67.16369281,70.80763837,Sand
65.55828413,33.90027842,65.55828413,Sand
74.36137561,79.95793678,74.36137561,Sand
24.84541209,23.54659976,24.84541209,Sand
39.34210346,24.35856593,39.34210346,Sand
38.44690491,26.83610865,38.44690491,Sand
70.1485614,63.41523813,70.1485614,Sand
59.07074198,69.23600677,59.07074198,Sand
58.17623408,69.04534571,58.17623408,Sand
71.62432879,68.64135901,71.62432879,Sand
33.9545429,19.87806964,33.9545429,Sand
33.18890957,34.85189619,33.18890957,Sand
35.75942569,48.52649575,35.75942569,Sand
70.51594042,65.64508915,70.51594042,Sand
71.58916077,37.47554201,71.58916077,Sand
63.20486677,54.85974376,63.20486677,Sand
66.55072366,52.47585714,66.55072366,Sand
49.20833963,41.85439115,49.20833963,Sand
31.74799824,41.29547085,31.74799824,Sand
43.98662059,56.55296302,43.98662059,Sand
62.52835908,49.16937467,62.52835908,Sand
55.49842706,61.9509447,55.49842706,Sand
45.91662136,56.01610729,45.91662136,Sand
61.75663045,77.33584805,61.75663045,Sand
26.34208377,27.32573201,26.34208377,Sand
32.51377896,31.93826602,32.51377896,Sand
57.22256376,53.28170009,57.22256376,Sand
47.85661742,70.78686507,47.85661742,Sand
61.04264731,73.53518211,61.04264731,Sand
50.3454175,49.50189902,50.3454175,Sand
75.30426956,74.52482618,75.30426956,Sand
28.26439315,30.46440082,28.26439315,Sand
37.4442147,35.27528921,37.4442147,Sand
36.8246882,31.19489689,36.8246882,Sand
48.09412504,68.69508747,48.09412504,Sand
50.49281385,43.13347065,50.49281385,Sand
55.21852463,45.17279271,55.21852463,Sand
57.39412583,67.42036301,57.39412583,Sand
33.32762412,30.89457707,33.32762412,Sand
32.01549764,34.16355537,32.01549764,Sand
54.08608805,50.74883058,54.08608805,Sand
69.3313489,62.01417621,69.3313489,Sand
55.76999691,56.01292407,55.76999691,Sand
64.6704138,50.84971679,64.6704138,Sand
78.31751782,76.98488694,78.31751782,Sand
27.76374664,31.11574843,27.76374664,Sand
33.34042473,27.34782182,33.34042473,Sand
33.34042473,44.19435121,33.34042473,Sand
61.02558398,54.43234067,61.02558398,Sand
43.04368433,53.47553259,43.04368433,Sand
59.51438189,52.50178445,59.51438189,Sand
69.96846341,45.5663217,69.96846341,Sand
22.06267303,27.44074135,22.06267303,Sand
47.93663986,32.54789631,47.93663986,Sand
45.00201501,47.69180297,45.00201501,Sand
65.13325163,50.78184813,65.13325163,Sand
92.90312647,48.45215621,92.90312647,Sand
69.00911755,40.00722693,69.00911755,Sand
77.68998018,63.42067316,77.68998018,Sand
50.90301724,33.92059167,50.90301724,Sand
33.17637803,35.49602702,33.17637803,Sand
40.0168287,47.40491071,40.0168287,Sand
70.46905732,49.65927846,70.46905732,Sand
72.68406069,50.750893,72.68406069,Sand
51.26915303,40.64603507,51.26915303,Sand
69.02965704,77.57824499,69.02965704,Sand
23.89545824,24.17976868,23.89545824,Sand
40.71428339,31.71457615,40.71428339,Sand
42.57937012,57.03069854,42.57937012,Sand
60.21720335,52.81934054,60.21720335,Sand
47.60071669,57.81399986,47.60071669,Sand
42.58524385,41.16691673,42.58524385,Sand
71.27800487,62.17161096,71.27800487,Sand
23.57483024,29.98120858,23.57483024,Sand
43.218835,36.66456354,43.218835,Sand
53.13139907,41.0533641,53.13139907,Sand
83.05899844,71.80811302,83.05899844,Sand
87.20990559,50.05642987,87.20990559,Sand
92.22282429,55.63008774,92.22282429,Sand
82.10753159,68.64742955,82.10753159,Sand
48.35501224,28.10551516,48.35501224,Sand
51.46339809,36.2192481,51.46339809,Sand
43.36200054,49.80248602,43.36200054,Sand
65.51294227,59.59619013,65.51294227,Sand
66.3076362,66.35089297,66.3076362,Sand
44.7189233,63.05393025,44.7189233,Sand
68.21858452,88.83523538,68.21858452,Sand
28.02978247,22.34678975,28.02978247,Sand
30.14522966,33.56995322,30.14522966,Sand
41.03288943,46.69089961,41.03288943,Sand
56.5592008,59.86321184,56.5592008,Sand
68.26834715,54.14343755,68.26834715,Sand
48.13059908,51.13685249,48.13059908,Sand
62.17317509,55.49958107,62.17317509,Sand
22.5569022,22.80559787,22.5569022,Sand
45.14755176,26.83723799,45.14755176,Sand
52.32369386,50.21047171,52.32369386,Sand
