ripper,plough,basins,depth,soil_type
29.66658946,23.25585038,34.97483549,300 mm,Sand
28.63219735,28.83263423,37.403929,300 mm,Sand
22.98387097,30.31766732,33.41803363,300 mm,Sand
36.80026634,31.07215686,38.05974479,300 mm,Sand
11.45268375,8.163219481,10.12295455,300 mm,Sand
14.93333333,9.345779031,10.93013644,300 mm,Sand
19.43245342,27.26712148,15.25449427,300 mm,Sand
28.87910518,29.23566598,50.92432681,300 mm,Sand
24.17211879,20.80183853,41.85468405,300 mm,Sand
24.07168459,18.94919801,21.82480226,300 mm,Sand
46.47229428,31.96324084,35.69745163,300 mm,Sand
10.02203807,10.73174577,15.14364973,300 mm,Sand
12.66607539,11.37995465,17.85573529,300 mm,Sand
23.69290281,26.37303527,25.65694444,300 mm,Sand
43.59256259,36.818361,27.18204178,300 mm,Sand
24.98323267,21.90004662,19.23715909,300 mm,Sand
26.48628915,28.38276668,19.64199077,300 mm,Sand
31.62681435,22.36879,29.03112245,300 mm,Sand
19.37237809,19.73670807,6.049500555,300 mm,Sand
12.08210685,16.98195674,13.75512416,300 mm,Sand
20.5965368,20.63062004,18.54554044,300 mm,Sand
29.92044507,32.89107961,38.28599362,300 mm,Sand
30.80989643,27.82815126,28.88258363,300 mm,Sand
32.61774841,14.39018227,25.10354135,300 mm,Sand
35.42596349,33.91237556,33.63554546,300 mm,Sand
7.640769231,10.06557887,12.0899026,300 mm,Sand
16.22432277,13.38906593,13.51844363,300 mm,Sand
16.83702978,13.80403318,14.05229268,300 mm,Sand
29.60565217,34.21515152,34.59209559,300 mm,Sand
24.9944122,29.24319493,33.11314251,300 mm,Sand
25.10130665,29.71367754,20.30805344,300 mm,Sand
33.08335135,38.82926743,36.83001508,300 mm,Sand
14.34828297,6.44107604,7.88920975,300 mm,Sand
13.06050354,15.01327485,14.22455006,300 mm,Sand
16.79613643,25.25272727,28.02705673,300 mm,Sand
19.57886978,34.30857599,25.82395299,300 mm,Sand
31.89519055,16.86694226,25.62141031,300 mm,Sand
31.9009511,28.54703947,20.69272219,300 mm,Sand
38.60305164,24.36071429,32.06863442,300 mm,Sand
12.30820901,11.70278544,12.42667926,300 mm,Sand
13.90578512,18.40537757,16.25183784,300 mm,Sand
20.07070049,27.57286785,25.84262918,300 mm,Sand
31.36605861,21.88004587,34.85936163,300 mm,Sand
23.81096747,25.35688093,29.63776208,300 mm,Sand
22.12942215,19.28869252,25.40412371,300 mm,Sand
32.03118402,37.02214942,39.53538535,300 mm,Sand
11.72655639,12.41246012,9.177534965,300 mm,Sand
11.96047697,13.34002041,11.5887931,300 mm,Sand
40.59230769,33.2077504,22.0163948,300 mm,Sand
20.96437841,41.97918313,29.96563314,300 mm,Sand
24.55848064,36.10077264,19.06048951,300 mm,Sand
24.44908722,23.46362903,26.6509375,300 mm,Sand
33.76601144,42.95151157,23.42518352,300 mm,Sand
9.66456044,11.77338979,9.226410106,300 mm,Sand
16.07513575,16.14287915,9.636542056,300 mm,Sand
20.06765837,17.23479223,24.92278772,300 mm,Sand
24.94405402,41.48185482,27.55178442,300 mm,Sand
25.36154552,18.55540943,33.88205749,300 mm,Sand
25.57982897,23.27626363,26.89411718,300 mm,Sand
23.86698297,29.62477477,47.43638511,300 mm,Sand
13.83973592,11.54848332,11.37862584,300 mm,Sand
12.19075581,15.20586306,18.47150943,300 mm,Sand
25.7219457,24.72262156,35.11173737,300 mm,Sand
32.20580933,33.16266431,37.97656562,300 mm,Sand
